,Source_Name,RAJ2000,DEJ2000,GLON,GLAT,PL_Index,LP_Index,PLEC_Index,Variability_Index,Conf_95_PosAng,Signif_Avg,PL_Flux_Density,LP_Flux_Density,PLEC_Flux_Density,Unc_Energy_Flux100,LP_SigCurv,PLEC_SigCurv,CLASS1,ASSOC1,PL_hr12,PL_hr23,PL_hr34,PL_hr45,PL_hr56,LP_hr12,LP_hr23,LP_hr34,LP_hr45,LP_hr56,PLEC_hr12,PLEC_hr23,PLEC_hr34,PLEC_hr45,PLEC_hr56,agnness,PSRness
4810,4FGL J2229.2-6911 ,337.3037,-69.1871,319.3744,-43.117466,2.566624,2.6153467,2.5733995,2.301255,-37.99,6.765636,-28.73598,-28.8246,-28.74,-28.37178,-0.07306553,-2.7475271,bcu,PKS 2225-694                ,-0.26451525093923783,-0.2506923505315309,-0.26025135584272135,-0.37192250022345325,-0.9999514027786168,-0.26517099341445705,-0.25003130347705627,-0.26090871406338195,-0.3713146804063669,-0.9999514712723274,-0.26460548082114116,-0.250601425034325,-0.2603417886652525,-0.37183891824455056,-0.99995141220616,AGN,Non-PSR
4811,4FGL J2229.7-0832 ,337.4258,-8.5447,55.234726,-51.707024,2.5961993,2.4939702,2.3322566,6.199958,-32.3,61.71974,-23.09245,-23.008001,-23.039267,-27.58629,1.8226353,1.8441128,FSRQ,PKS 2227-08                 ,-0.2626019778793096,-0.3614272196668145,-0.48934616713036,-0.673950866459955,-0.6111816772671178,-0.2612560476335382,-0.3626828765994349,-0.4882463801951623,-0.6747387811348481,-0.6102756131257022,-0.2592767839536665,-0.36452525030703736,-0.48662772937823556,-0.6758936339860073,-0.6089415523935987,AGN,Non-PSR
4812,4FGL J2230.9-7815 ,337.7282,-78.2594,311.30557,-36.480606,2.288638,2.2475305,2.0881808,3.309867,46.31,11.466202,-29.279823,-29.193035,-29.20456,-28.186588,-0.063976966,0.1407112,bcu,PKS 2225-785                ,-0.14114627384986922,0.08960384584625175,-0.34301341707846306,-0.029994662985008413,-0.9999997869211957,-0.1406639554022025,0.0891156711614952,-0.3425790968389762,-0.030486342396498625,-0.9999997867113876,-0.13892448686779382,0.08735536992098254,-0.3410122956310807,-0.03225864686407613,-0.9999997859532643,AGN,Non-PSR
4813,4FGL J2231.0-4416 ,337.758,-44.2791,352.21976,-57.10318,2.4726787,2.3449912,1.893108,3.715793,-14.19,12.321396,-27.548183,-27.331894,-27.37926,-28.493767,0.9005927,0.8703132,fsrq,PKS 2227-445                ,0.0694757854003522,-0.3498079445758874,-0.44365435024637334,-0.18208961255277809,-0.727959681055266,0.07113980158595799,-0.3512747387570903,-0.44231023751012316,-0.18370595226188755,-0.7271726435453416,0.07594826491433186,-0.35550558254485953,-0.438413137876729,-0.18837322522763064,-0.7248864394040043,AGN,Non-PSR
4814,4FGL J2232.3+6246 ,338.0988,62.775,107.77313,4.06984,2.4973278,2.6435266,2.0067077,1.5215569,41.02,5.8445926,-29.370457,-29.172167,-29.158806,-27.188644,0.62860674,0.4832447,bcu,NVSS J223223+624933         ,0.28378876426420097,-0.33509423373439967,-0.1747737438639489,-0.9999108547325755,0.9988349733741672,0.2818623920403503,-0.33323415504196696,-0.1768029065661948,-0.9999104806514277,0.998830087089743,0.2891085676718295,-0.3402288080885922,-0.1691497898335795,-0.9999118819760985,0.998848391102688,AGN,Non-PSR
4815,4FGL J2232.6+1143 ,338.1525,11.7306,77.438484,-38.583153,2.3785121,2.26066,2.102687,9.5690775,-26.47,199.45769,-22.277452,-22.18253,-22.221684,-26.847311,2.78053,2.7995546,FSRQ,CTA 102                     ,-0.10638860718405532,-0.21003185450388348,-0.34486797949777526,-0.5162810351726882,-0.8876932734537147,-0.10494495748816891,-0.21142696252091256,-0.34358103760602116,-0.5173510178729138,-0.8873833599422841,-0.10318699359679745,-0.2131240697328638,-0.3420126965911341,-0.5186513401480524,-0.8870050261324606,AGN,Non-PSR
4816,4FGL J2232.6-2023 ,338.1725,-20.3909,37.365078,-57.65388,2.013651,2.1101053,2.1353662,2.1127262,-1.99,7.5596504,-31.501738,-31.6942,-31.547766,-28.443935,0.54257834,-0.29305118,bll,1RXS J223249.5-202232       ,-0.3568287593632884,-0.4871960934030086,0.4382454345509931,0.17899829161863187,0.08198750395527009,-0.3576891112277272,-0.4864436081622037,0.43744827953142207,0.17995276047926337,0.08100785208684579,-0.3579259625991562,-0.4862362343361109,0.4372285943476621,0.1802155912875024,0.08073797081999132,AGN,Non-PSR
4817,4FGL J2232.8+1334 ,338.2245,13.5764,79.00779,-37.212517,1.8850354,1.8176482,1.6979072,2.006294,25.6,5.6250434,-32.83838,-32.77367,-32.778088,-28.554804,-1.2965325,-0.62357616,bll,RX J2233.0+1335             ,0.07578729170894329,-0.05007597681274415,0.31788294679027695,-0.1549721702992531,0.4279092843098461,0.07634600126543885,-0.05063653596152377,0.31838804732206444,-0.15552057894026447,0.4283682181954591,0.0772350540618784,-0.05152852145444525,0.3191914818449869,-0.15639316578932116,0.42909820750114624,AGN,Non-PSR
4819,4FGL J2233.9-1229 ,338.4992,-12.488,50.55684,-54.677193,2.0974245,1.9286126,1.4498844,1.6001318,55.26,5.362601,-31.708614,-31.492434,-31.498844,-28.506338,0.059828717,0.12739088,bcu,PKS 2231-127                ,0.9996646000489734,-0.01347712336589158,0.16082615718936258,-0.5520032707448913,-0.9974567807238697,0.9996657070550908,-0.01513007016181626,0.16243624632502002,-0.5531517444139703,-0.9974483682096414,0.9996678785101899,-0.01838812220018278,0.1656075240009304,-0.5554094524652642,-0.9974317040408486,AGN,Non-PSR
4820,4FGL J2234.1-2656 ,338.5425,-26.9375,25.290482,-59.528767,2.0923963,2.031803,1.9097987,5.0012794,-39.6,25.927841,-28.311428,-28.2122,-28.248148,-28.073917,0.8133489,0.7925929,bll,PMN J2234-2656              ,0.14426891305658693,-0.00011283802073136859,-0.09397679916978337,-0.07004101157523487,-0.12303167155156354,0.14487571062486182,-0.0007325733396809301,-0.09336248837612057,-0.07065773337599937,-0.12242120878596188,0.14600063987000908,-0.0018817820300043061,-0.0922231683329517,-0.07180111198863481,-0.12128906374773508,AGN,Non-PSR
4822,4FGL J2234.7+0943 ,338.6906,9.732,76.26742,-40.44269,2.158819,1.8537191,0.80036956,3.0479705,-3.39,29.449945,-27.88545,-27.518847,-27.56678,-28.050497,2.1605594,2.159956,PSR,PSR J2234+0944              ,0.8286096696257624,0.21739220952622262,-0.20601992902020275,-0.6706255040361515,-0.9942602542786152,0.8295375623616057,0.21456268539223025,-0.2031761901046927,-0.6722554039473829,-0.9942261815603294,0.8306025110796789,0.2112934737874999,-0.19989081913716517,-0.6741279446549294,-0.9941866166340851,Non-AGN,PSR
4823,4FGL J2235.1-0623 ,338.7994,-6.3955,59.330734,-51.583557,2.1647015,1.1197106,0.0002147833,2.9477642,-23.68,6.6792164,-30.08883,-29.696209,-29.736164,-28.363485,0.9406341,0.9662303,bcu,PMN J2235-0623              ,0.21359808636334632,0.21934531699193274,0.003771457707961293,-0.999996202777104,0.9999882349258373,0.21987518703910647,0.21306670156884422,0.010357632196572984,-0.9999962524696994,0.9999883888889501,0.21523430272508334,0.2177121098175529,0.0054865182816129406,-0.9999962157796207,0.9999882752118809,AGN,Non-PSR
4824,4FGL J2235.3+1818 ,338.8356,18.311,83.16829,-33.849815,2.2350867,2.0715752,1.0794759,2.496284,81.16,6.543782,-30.1272,-29.823286,-29.813095,-28.332823,0.8635806,0.9599419,bcu,2MASS J22352860+1816356     ,0.7533679234096046,-0.13155755893734322,0.12744567504504817,-0.969404715671087,-0.9998385251293509,0.7541453959411593,-0.13332629450806266,0.12921631313118825,-0.9695130028965769,-0.9998379427082241,0.7565627504051787,-0.13885114018185157,0.1347473543741232,-0.9698491612059049,-0.9998361080733101,AGN,Non-PSR
4825,4FGL J2235.3-4836 ,338.8409,-48.6015,344.46588,-56.08469,2.510441,2.4967582,2.474638,4.1104355,44.97,25.349466,-26.340069,-26.307486,-26.328062,-28.251808,-0.10046226,-0.56341887,fsrq,PKS 2232-488                ,-0.19368657197865807,-0.3220543949879092,-0.33597361242719526,-0.01111276720475704,-0.5547812081951914,-0.1935044348504541,-0.3222240037774366,-0.3358056943237713,-0.011302015569231738,-0.554650190336753,-0.1932129953719381,-0.3224952907984777,-0.3355370659756424,-0.011604676061153316,-0.5544405586809474,AGN,Non-PSR
4826,4FGL J2235.8-3627 ,338.9708,-36.4605,6.342658,-59.90193,2.2414608,2.1799495,2.0084536,3.0403304,-5.97,24.356081,-27.594957,-27.493818,-27.518625,-28.23271,0.8948508,0.9795828,bll,NVSS J223554-362901         ,-0.10708984639704239,-0.10141003456627116,-0.22080528353048787,-0.11382631860485916,-0.9999999464286276,-0.1063908171879808,-0.1021098067749408,-0.22013254846441824,-0.1145242416502368,-0.999999946352809,-0.1046096521304908,-0.10389188893791076,-0.2184179466682109,-0.11630143186204252,-0.9999999461592048,AGN,Non-PSR
4827,4FGL J2236.2-1706 ,339.0648,-17.1066,43.625168,-57.24788,2.2402146,2.2327864,2.1953857,2.0670428,59.67,12.708475,-29.009136,-28.993338,-28.9924,-28.28208,-1.4372227,-0.7784576,bll,PKS 2233-173                ,0.19964988075172851,-0.15194556065525605,-0.2607991046590792,0.30288103206181055,-0.43284819577744127,0.19973347824749338,-0.1520306763552145,-0.2607179552690288,0.3028019477870497,-0.43277742388444584,0.20014723685158176,-0.1524516392692757,-0.26031622457860343,0.3024103987943092,-0.4324270690470519,AGN,Non-PSR
