,GLON,GLAT,proba_BLL,proba_FSRQ,label
207,158.7006,19.648283,0.98881452260228,0.011185477397719973,BLLlike
208,156.58951000000005,20.744526,0.9325043220748778,0.0674956779251222,BLLlike
214,261.33643,-21.152489000000006,0.9481360117083149,0.05186398829168511,BLLlike
217,174.26587,18.768856,0.9873690045822004,0.012630995417799565,BLLlike
218,256.94128,-18.510597,0.9845556717174198,0.01544432828258025,BLLlike
220,261.42136,-19.538681,0.9734410394267734,0.026558960573226587,BLLlike
222,180.7958,17.265383,0.9770639414618467,0.022936058538153326,BLLlike
223,199.74765,9.185146,0.9711889647090999,0.028811035290900174,BLLlike
226,214.63525,3.169934,0.9183034596250947,0.08169654037490527,BLLlike
227,198.78328,11.710553,0.9798662487571671,0.0201337512428329,BLLlike
229,275.3795,-22.16661,0.9778065982001866,0.022193401799813453,BLLlike
231,238.51823,-7.031333,0.9369477955057588,0.06305220449424118,BLLlike
233,261.3225,-16.35298,0.9514147727054277,0.048585227294572236,BLLlike
236,243.86371,-7.36004,0.9742544079381362,0.025745592061863738,BLLlike
238,261.8359,-15.375998,0.9870027680655354,0.012997231934464578,BLLlike
239,222.05637,4.934131,0.9858643761667347,0.014135623833265259,BLLlike
240,149.94328000000004,28.619455,0.9824032152958432,0.01759678470415683,BLLlike
242,257.54132000000004,-11.757423,0.9261655681159309,0.07383443188406909,BLLlike
249,254.56902,-7.9989777,0.9936672285095484,0.006332771490451691,BLLlike
250,255.38487,-8.106514,0.9072393965622951,0.09276060343770484,BLLlike
251,226.19887000000003,8.759922,0.9693647951917379,0.030635204808262116,BLLlike
252,258.43652000000003,-9.101469,0.9638616105891227,0.03613838941087732,BLLlike
254,255.02257000000003,-6.0622997000000005,0.9804995459792781,0.019500454020721873,BLLlike
256,233.95619,7.613154,0.9079759254936507,0.09202407450634928,BLLlike
258,183.37364,29.111372,0.9053843285923684,0.09461567140763162,BLLlike
260,214.02026,18.860508,0.9891739456967186,0.010826054303281403,BLLlike
266,150.00768,33.13357,0.9507383956487222,0.049261604351277764,BLLlike
268,236.69914,12.420677,0.9717206670680918,0.028279332931908225,BLLlike
269,274.89673,-12.734328,0.9558832913712816,0.04411670862871842,BLLlike
272,259.43716,-1.6513584,0.986243144570385,0.01375685542961501,BLLlike
276,276.2241,-11.749917,0.9636256409604196,0.03637435903958047,BLLlike
278,181.42084,36.907322,0.9629383064843263,0.03706169351567365,BLLlike
279,247.80872,9.873266,0.919057765732468,0.08094223426753201,BLLlike
280,147.8028,35.601807,0.9939630664598196,0.00603693354018045,BLLlike
283,263.694,0.16362005,0.9003717033356775,0.09962829666432255,BLLlike
291,277.4936,-9.854091,0.9709005802810599,0.02909941971894011,BLLlike
295,228.01486,28.68305,0.9700250901737578,0.02997490982624217,BLLlike
297,268.28357,-0.579613,0.9908613492654141,0.00913865073458586,BLLlike
298,180.92274,41.709335,0.919362346864621,0.08063765313537902,BLLlike
299,239.3205,23.89156,0.964409553718191,0.035590446281808984,BLLlike
301,246.85936,19.746801,0.9478769033635558,0.05212309663644419,BLLlike
302,154.41068,40.228348,0.9468468959973659,0.05315310400263405,BLLlike
303,269.4578,0.42970848,0.9098363700942009,0.09016362990579904,BLLlike
304,144.79068,37.850307,0.9858684043892757,0.01413159561072433,BLLlike
305,134.61452,33.796444,0.9733973758072476,0.02660262419275239,BLLlike
307,147.63333,39.31993,0.9813115317297226,0.01868846827027733,BLLlike
308,280.69565,-8.727072,0.9860026983918387,0.013997301608161235,BLLlike
310,275.3272,-2.1269085,0.9535363134003096,0.04646368659969032,BLLlike
311,275.101,-1.4034246,0.9445032995996552,0.05549670040034488,BLLlike
312,259.71167,15.074706,0.9710802298451254,0.028919770154874527,BLLlike
313,263.73978,11.231115,0.9919964800658417,0.008003519934158218,BLLlike
314,282.24362,-7.907418300000002,0.9621327619187753,0.03786723808122476,BLLlike
317,221.38269,41.727722,0.961826689426659,0.038173310573340904,BLLlike
319,164.78171,46.4867,0.9588787169538691,0.04112128304613094,BLLlike
322,275.93863,1.4039012,0.9880721559054361,0.011927844094563954,BLLlike
326,135.42438,36.49873,0.9720967291632086,0.02790327083679141,BLLlike
328,251.90317,29.602777000000003,0.9724779077217216,0.02752209227827845,BLLlike
332,277.95737,2.0954762,0.9419661189321145,0.058033881067885554,BLLlike
334,278.87955,2.6509616,0.9082527382751995,0.09174726172480052,BLLlike
336,282.71994,-1.0395072,0.9088139165824994,0.09118608341750052,BLLlike
337,149.18478000000005,46.906174,0.9769395520435755,0.02306044795642445,BLLlike
338,286.72684,-6.045768,0.9687742042460021,0.031225795753997917,BLLlike
