,GLON,GLAT,proba_BLL,proba_FSRQ,label
102,142.34935,2.021978,0.462256027944953,0.537743972055047,Otherlike
103,228.62848,-54.644314,0.811901317502829,0.18809868249717102,Otherlike
106,164.61195,-24.741873,0.862783377451722,0.13721662254827807,Otherlike
107,146.7922,-1.821867,0.2611895433848015,0.7388104566151985,Otherlike
108,160.21903999999995,-18.36376,0.6811217658673387,0.3188782341326613,Otherlike
110,160.49614,-17.246677,0.7112259353883112,0.28877406461168875,Otherlike
112,165.09822,-18.356842,0.8651383180912307,0.13486168190876938,Otherlike
113,159.98468,-12.574114,0.8972490264229924,0.10275097357700756,Otherlike
115,184.61214,-32.053356,0.8329371861079689,0.16706281389203112,Otherlike
119,158.99518,-8.488823,0.5678089756750132,0.4321910243249868,Otherlike
120,195.4647,-36.191944,0.6014677055803535,0.39853229441964655,Otherlike
126,150.87962,3.8203735,0.18529062880998604,0.814709371190014,Otherlike
127,189.68898,-28.75516,0.1955540269170276,0.8044459730829724,Otherlike
128,143.65476999999996,10.784216,0.31160510500497984,0.6883948949950202,Otherlike
129,279.1443,-38.551704,0.8413376878006561,0.15866231219934387,Otherlike
130,164.09975,-8.490971,0.4308759764678127,0.5691240235321873,Otherlike
135,296.4673,-30.58513,0.8910097632819766,0.10899023671802345,Otherlike
136,262.9018,-40.36736,0.7439562966359667,0.25604370336403326,Otherlike
137,166.40129,-6.503557700000001,0.2924509702506739,0.7075490297493261,Otherlike
139,183.25938,-18.923176,0.5083002693965321,0.49169973060346794,Otherlike
140,175.91547,-13.05345,0.8566450959506247,0.1433549040493754,Otherlike
141,220.48804,-36.047104,0.6323894202904915,0.3676105797095085,Otherlike
142,155.99199,4.6304154,0.19468260507097634,0.8053173949290237,Otherlike
143,173.6168,-9.521301,0.2805127783472051,0.7194872216527949,Otherlike
148,206.38472,-26.213057,0.6801286479433625,0.3198713520566375,Otherlike
153,192.3084,-12.677808,0.7304235758728552,0.2695764241271448,Otherlike
155,227.96182,-28.385183,0.3402530428472863,0.6597469571527137,Otherlike
156,205.5505,-19.197758,0.7264241335015409,0.27357586649845916,Otherlike
157,192.2091,-11.278744,0.8197519926057583,0.18024800739424177,Otherlike
158,174.26027,0.3575937,0.6217790903843754,0.37822090961562466,Otherlike
159,152.25753999999995,14.167839,0.7095175606284365,0.29048243937156343,Otherlike
160,171.23119,2.6508524,0.2595663258441262,0.7404336741558738,Otherlike
161,262.0898,-32.68844,0.8173724001758265,0.18262759982417354,Otherlike
162,195.39026,-12.126673,0.4425835178729336,0.5574164821270664,Otherlike
164,195.31013,-11.466014,0.4323445958633525,0.5676554041366475,Otherlike
166,272.9448,-32.073387,0.7637293202326121,0.23627067976738797,Otherlike
167,287.282,-30.582247,0.7938047133693861,0.20619528663061393,Otherlike
169,156.38763,12.950008,0.6676689365023041,0.332331063497696,Otherlike
170,173.27489,2.937252,0.8620648630042373,0.1379351369957626,Otherlike
172,209.02463,-16.977465,0.7607973540507669,0.2392026459492331,Otherlike
173,185.2363,-3.5079103,0.7704954473783163,0.22950455262168368,Otherlike
174,159.82693,11.75569,0.7394118001644522,0.2605881998355478,Otherlike
177,215.66595,-19.334515,0.6167291887158597,0.3832708112841403,Otherlike
179,183.23953,-0.5631736999999999,0.8547338231047816,0.1452661768952183,Otherlike
180,201.70981,-10.96619,0.4700370943908877,0.5299629056091123,Otherlike
181,164.07498,11.043522,0.5685117317560449,0.4314882682439552,Otherlike
182,205.31055,-12.360212,0.851139198447285,0.148860801552715,Otherlike
186,204.73898,-11.639255,0.7604845074495902,0.23951549255040985,Otherlike
187,251.65219,-27.952835,0.546270562672156,0.453729437327844,Otherlike
189,216.56119,-15.808719,0.7583313569840052,0.2416686430159948,Otherlike
191,188.98703,0.89292365,0.6997562473499825,0.3002437526500174,Otherlike
192,190.30644,0.16713028,0.5999661757529882,0.4000338242470119,Otherlike
196,194.89326,-1.3739172,0.6837051287384805,0.31629487126151945,Otherlike
197,192.77275,-0.082485184,0.7984968960601709,0.20150310393982906,Otherlike
198,247.93144,-23.295969,0.4460675196067342,0.5539324803932658,Otherlike
199,198.38252,-1.5643221,0.7613172389744487,0.23868276102555136,Otherlike
200,189.14917,3.424281,0.8990909479860082,0.10090905201399185,Otherlike
202,196.30472,0.0034195795,0.5287092892127649,0.47129071078723506,Otherlike
204,181.80165,8.147565,0.6807554951943682,0.3192445048056319,Otherlike
205,257.34122,-24.33489,0.8107214447631131,0.18927855523688683,Otherlike
209,239.40158,-16.809458,0.6620377338386112,0.33796226616138886,Otherlike
210,261.23352,-22.621716,0.8265303912195117,0.17346960878048834,Otherlike
211,202.28185,2.935228,0.5735995689834152,0.42640043101658476,Otherlike
212,275.11096000000003,-25.298267000000006,0.6540993278683508,0.3459006721316492,Otherlike
213,245.9736,-16.216476,0.6079140596282119,0.3920859403717881,Otherlike
215,253.15192,-18.204216,0.48991079550037875,0.5100892044996213,Otherlike
