,RAJ2000,DEJ2000,GLON,GLAT,PL_Index,LP_Index,PLEC_Index,Variability_Index,Signif_Avg,PL_Flux_Density,LP_Flux_Density,PLEC_Flux_Density,Unc_Energy_Flux100,LP_SigCurv,PLEC_SigCurv,PL_hr12,PL_hr23,PL_hr34,PL_hr45,PL_hr56,LP_hr12,LP_hr23,LP_hr34,LP_hr45,LP_hr56,PLEC_hr12,PLEC_hr23,PLEC_hr34,PLEC_hr45,PLEC_hr56,PSRness
3467,0.5283517,-0.47075307,1.2399209,0.14680006,0.17666465,-0.7337218,-0.9486991,-1.937289,0.9014989,0.50838447,0.58243626,0.58341,0.32641658,0.80823827,0.8349035,-0.493470562441366,0.8109286682990501,0.02605760909303472,-0.2778049034675287,-0.8739135579005627,-0.48571533583995435,0.8021294595585148,0.03756040327207697,-0.2836660785268594,-0.8739430264687863,-0.4856714447618315,0.8020020126186123,0.037933294295312656,-0.28467802477198845,-0.8751472540564809,Non-PSR
3470,0.5305441,-0.7125821,1.1820731,-0.065483965,0.25762546,0.43267632,1.1005037,-0.04898416,-0.55015373,0.011539463,-0.068081565,-0.09171734,0.99570477,-0.39146528,-0.59243464,1.2929812950391881,-0.6276595140656345,-0.4881852155490645,1.106793153526926,-0.8743353259286135,1.2924336535765002,-0.6263995198487168,-0.4899193643801711,1.1077676044891294,-0.8743735411406106,1.2892767055567371,-0.6203186943791722,-0.4949099792216178,1.107429709956358,-0.8755820382405968,Non-PSR
3474,0.5316666,1.0101147,-1.1564163,1.2135018,-1.6821737,-1.1977432,0.13560899,-0.5530187,0.46712303,-1.0406332,-1.0562872,-1.0723448,-0.7997826,-0.0070015425,0.063925095,1.3886444844423231,-0.03522001716750433,1.8353723660213312,0.03354465462181236,0.9083033894205791,1.388181848315535,-0.037004305012524163,1.8341944366694423,0.031884261924419816,0.9097603636781673,1.384643080721631,-0.03015256094540737,1.8322420377233586,0.033404473801682065,0.9095529074944754,Non-PSR
3479,0.53401756,-0.69225216,1.1880478,-0.055360083,-0.23412459,-0.071020104,0.44759294,-0.78674996,-0.69373256,-0.4642396,-0.47884393,-0.48724896,0.73149407,-0.11446029,-0.10732317,1.3809583044282259,1.411465947261932,0.006072371224786124,0.07848795971904308,-0.8698357922591513,1.3805045444526023,1.4137780395750457,0.006216815717061274,0.07769631591783288,-0.8698669969620282,1.377029096192213,1.4126361925429074,0.008815335405384102,0.07402948246289293,-0.8710308909991189,Non-PSR
3480,0.5341394,-0.44191244,1.2488929,0.15774724,0.11815691,0.27773267,1.4903486,0.5911673,-0.72178876,-0.15925978,-0.3490763,-0.33267805,0.7147267,-1.8921363,-0.3607925,1.3878661013275575,-0.22828829502650774,-0.8873985541385863,0.42384697267259713,1.3418450526673815,1.3874032914849428,-0.22731749570240042,-0.8877406344836999,0.4240834521685912,1.3418046058779116,1.3838602209280204,-0.21119564116781822,-0.903570769383265,0.43214804363414605,1.3377188827906157,Non-PSR
3482,0.5355099,-1.1162319,1.0837404,-0.41324416,-0.17647927,-0.64748704,-0.20182239,0.27938604,1.515096,0.6156618,0.5573985,0.55819005,-0.14457399,0.69188,0.8114718,-0.5054554942393933,0.5628760332893532,0.42169036590246606,-0.936619308443944,-0.8746812709152212,-0.5003460467807389,0.556750195572877,0.42914399020471977,-0.9369356412005695,-0.874718735720599,-0.4991998729931654,0.5551579394559741,0.43287429516224146,-0.9345348199936508,-0.8759288502605092,Non-PSR
3484,0.5356876,-0.65309215,1.1980727,-0.025567655,-0.32198298,-0.17710143,-1.8060056,-0.3677371,-0.2954803,-0.7861222,-0.52689403,-0.56367517,-0.46382004,0.8197362,0.7741122,-1.810952753149422,1.762495627335196,0.9128189373098181,-0.42340864672355455,-0.8478647647539047,-1.811708778614822,1.765319947192538,0.9125058929062699,-0.42403525724158686,-0.8478534563346285,-1.8203390919367801,1.769150477436463,0.910349228694816,-0.4224837033578622,-0.8489603525207329,Non-PSR
3486,0.53575826,-0.74992543,1.1745188,-0.10796878,0.7741723,0.90853643,0.61163884,-1.0679759,-0.17846248,0.049275998,-0.0050359936,0.02230661,1.3355916,0.23015288,0.24188992,-1.4683190854946742,-0.16141755112265868,-0.47498349189862554,-0.15363049841119983,-0.8744804004915929,-1.470702716861322,-0.15699262035132797,-0.47893955296337887,-0.15148460043362116,-0.8745190346222088,-1.4702486602425089,-0.16896069351350138,-0.4688250336350212,-0.16050460853504556,-0.8757247439476046,Non-PSR
3488,0.53635085,0.9253523,-1.1826218,1.1570848,0.60618645,0.55281895,1.4742228,-0.33973888,-0.46467903,0.3168771,0.18818639,0.16297656,-0.66633445,-1.5029455,-2.7953482,0.4280809900099777,-1.2007110066049613,-0.8420350616728169,2.1671874879304713,-0.16617259841836518,0.42770914175598923,-1.2014997306683637,-0.8420995216091981,2.167159642376322,-0.16599115250505225,0.4224047401541046,-1.1870635591424399,-0.8546404640849542,2.174096230732274,-0.16764380694468908,Non-PSR
3493,0.5399049,-0.704946,1.1867075,-0.07845336,0.5833962,0.62041664,-0.7066043,0.089419715,-0.16923453,0.37674993,0.5067869,0.5177014,0.58551306,0.7378827,0.7195401,0.5909320394221429,-0.10633250442099569,-0.366113452905793,-1.0341532107256814,-0.15926185804055296,0.5899687809624313,-0.10442850428287294,-0.367867190866266,-1.033795035384762,-0.15958687909330255,0.5988618404935424,-0.12094662748057192,-0.352430805329092,-1.0306023983520798,-0.1492391422679414,Non-PSR
3494,0.53999186,-1.0046185,1.1128037,-0.32899347,-0.8279626,-0.2932768,0.9626081,-0.06926491,-0.29438415,-0.9131544,-1.0555291,-1.028327,-0.27128813,-3.0385818,-2.094661,1.379782288505246,-0.0661549166029139,-0.017091599153993865,1.4993868518620441,0.3858992570349617,1.3793165290970442,-0.06469086497064008,-0.018868517300436937,1.4997800436015951,0.38576042857383075,1.37576877012085,-0.054232382085414005,-0.028419888608870816,1.5051402935192193,0.3842726064381142,Non-PSR
