,RAJ2000,DEJ2000,GLON,GLAT,PL_Index,LP_Index,PLEC_Index,Variability_Index,Signif_Avg,PL_Flux_Density,LP_Flux_Density,PLEC_Flux_Density,Unc_Energy_Flux100,LP_SigCurv,PLEC_SigCurv,PL_hr12,PL_hr23,PL_hr34,PL_hr45,PL_hr56,LP_hr12,LP_hr23,LP_hr34,LP_hr45,LP_hr56,PLEC_hr12,PLEC_hr23,PLEC_hr34,PLEC_hr45,PLEC_hr56
4343,298.3849,38.6881,73.83676,5.68631,2.3696864,2.343447,2.3098361,2.440652,10.789644,-28.671572,-28.54169,-28.646954,-27.678028,0.35094795,-0.6360833,0.9338825634974974,-0.29810326683884814,-0.1949315028034516,-0.44296796167702307,0.18965244982093182,0.93392512203736,-0.29840661552606035,-0.19461119138584693,-0.44323555958682154,0.1899734404526964,0.9339785568473964,-0.29878763462401964,-0.19420869413760988,-0.44357160699672926,0.19037663324797516
4346,298.6475,24.3499,61.63247,-1.8682328,2.47563,2.2499733,0.13498874,2.3922594,5.0806265,-29.503088,-28.836105,-28.865685,-27.766926,1.2459601,1.2636434,-0.27548046679623234,0.41243238498023316,-0.4561344551744796,-0.9999857091751895,0.9822152621698335,-0.27282381594407845,0.4100456423957273,-0.45385661014779044,-0.9999857910408375,0.9823162430734137,-0.26919536375675307,0.40678277475900504,-0.4507416478087052,-0.9999859018921836,0.982452992344306
4348,298.7199,25.7178,62.838474,-1.2185556,2.6430466,2.7695072,1.6360879,1.7948128,5.4401364,-27.743116,-27.247232,-27.291857,-26.702099,1.1979274,1.1191016,0.7728301193711383,-0.5182893638974746,-0.5365462897308786,-0.8989051966764741,-0.9926191076431947,0.7720500042327592,-0.5168733348752783,-0.5379222389637798,-0.8985332512591881,-0.9926474991670401,0.7771696314990741,-0.5261917510784622,-0.5287633119274294,-0.9009708866525957,-0.9924575609098836
4353,298.8332,-50.5397,348.10245,-30.511244,2.4703767,2.516598,2.5463479,2.5670645,5.951133,-29.079313,-29.212534,-29.104204,-28.320797,0.19738138,-0.04774379,-0.14733308641878776,-0.41939398736534944,-0.13803957756247956,-0.014220214482200198,-0.08945376410144236,-0.14795475640040903,-0.41887010218492154,-0.1386629266971521,-0.013584804006920706,-0.09008413123531174,-0.14836316464629695,-0.41852575123094177,-0.13907240261942327,-0.013167322901893689,-0.0904983394582426
4357,299.1511,-70.1852,325.2167,-30.905136,2.293217,2.1236837,0.0006752632,2.2620084,6.9134707,-30.922033,-30.280678,-30.359474,-29.200363,1.3766882,1.3650882,-0.37797268237179127,0.8325893821560739,-0.012722821170699613,-0.9999984380213521,0.7868066672092223,-0.3763041922171984,0.831991633751401,-0.010777897392889752,-0.9999984440862071,0.787546525110309,-0.37521262268979516,0.8316000241409346,-0.009507033331345479,-0.9999984480362764,0.7880287184377802
4359,299.4014,12.5112,51.784195,-8.5456505,2.3263857,2.1591246,1.7669585,2.2441933,4.517245,-30.267271,-30.102869,-30.128447,-27.9863,0.12680204,0.29618102,-0.09482948605420663,0.2416562622455759,-0.3515559700067057,0.31867348222625713,-0.9999999977139922,-0.09287993699420301,0.2398033466128895,-0.34983097074951275,0.3169052122489437,-0.9999999977049817,-0.08924831930895756,0.23634893129335746,-0.34661304963730644,0.3136072044472485,-0.9999999976881114
4369,299.8335,-61.3543,335.52145,-31.649939,1.6962671,1.4991927,0.00018702245,2.5756128,6.167664,-34.067245,-33.21061,-33.436295,-29.059462,1.1731712,1.0916781,0.9227654837326341,-0.5989905564896817,0.9662518454194169,0.03134353352003985,-0.03911941003415699,0.9229392975149673,-0.5997413194902437,0.9663295040450071,0.030172973282706288,-0.03794945480448258,0.9223904241241727,-0.5973724429771456,0.9660842325335144,0.03386056523808961,-0.04163497603772666
4372,299.99,18.5591,57.313065,-5.9339004,2.4699879,2.4604888,1.4466479,1.3701941,4.3786573,-29.533123,-29.115438,-29.136984,-27.65855,0.95242107,0.94718623,-0.053191611177137055,-0.12085367976207781,-0.1379488815105036,-0.9999999984689356,0.9945015330158808,-0.05306336388837321,-0.12098042799885234,-0.13782267385709993,-0.9999999984693294,0.9945029429450712,-0.04378524258589678,-0.1301337324536095,-0.12868789368206662,-0.9999999984975366,0.9946039700235998
4379,300.3974,-9.9818,31.776405,-20.069809,2.5270913,3.1750553,2.4642048,1.4483443,4.3737392,-28.824173,-28.434488,-28.78664,-27.968025,0.3094938,-1.1928927,0.25601307898414877,-0.565796348141779,-0.32065055969483885,-0.1866271313108368,0.38774472962657236,0.24616450746923316,-0.5586074491423394,-0.33004917487970753,-0.17646231604255286,0.37877751948278354,0.2568218984257477,-0.5663846353358788,-0.31987367043682274,-0.1874625629355703,0.3884800608750815
4391,301.474,33.9561,71.098526,1.0918635,2.3367805,2.3191628,2.4825814,2.612514,5.8919997,-30.402561,-30.510227,-30.45994,-26.608547,0.058006786,0.42093173,0.9926466976239872,-0.3174374067221399,-0.47361060207720185,-0.2770172158017684,0.5129136320916142,0.9926499127799874,-0.3176347765734148,-0.47344032519282386,-0.2772198024633288,0.5130753062291629,0.9926186530681498,-0.31571855184149855,-0.4750910628887539,-0.2752525255531074,0.5115044535472364
4393,301.5127,-65.6396,330.4363,-32.194798,1.5954944,1.3441303,0.55168736,1.1064996,4.113074,-35.151382,-34.888493,-34.868473,-28.859806,0.085935235,0.30007,0.9993467751707804,0.9996196006975795,0.1532434349676239,-0.05304669077126978,0.6428004700754415,0.9993483163569015,0.9996187009598986,0.15439693083962494,-0.05422470407487425,0.6434932087177982,0.9993477761956424,0.9996190167803122,0.1539924065120403,-0.053811568244786855,0.6432503642364787
4395,301.6198,-3.9147,38.106358,-18.462978,2.1922445,2.1870325,2.2111201,2.0910764,4.5642047,-31.226425,-31.2383,-31.23968,-28.09345,-2.7823648,-2.097647,0.9999174887458117,-0.47897539363331176,-0.1974421706581577,0.41426759178343336,-0.9943134661274928,0.9999174984647456,-0.479020797733854,-0.19738551421778847,0.41421877434652243,-0.9943127983377352,0.9999174531603745,-0.47880924865477326,-0.19764932544975064,0.41444616300690224,-0.9943159105949432
4398,301.8093,-31.955,9.644623,-29.11403,2.1100492,2.025878,1.282275,0.9836195,8.118803,-30.15387,-29.863369,-29.88895,-28.149973,0.9121286,0.8939444,0.9994631294888814,0.2980709093410696,-0.2532785281518098,-0.3827095090973237,-0.9256664149622313,0.9994640573786898,0.29728242606719807,-0.25246869470624583,-0.38344773377715546,-0.9255424774167069,0.9994691734570768,0.2929029874555249,-0.24797187090743134,-0.387532016945184,-0.9248516326724516
4402,301.9926,25.1936,63.952477,-4.0056634,2.264317,2.0442476,1.012924,0.5830374,8.656555,-28.903656,-28.466908,-28.474821,-27.36938,1.3433019,1.3259887,0.5172285795077044,0.36538315316627684,-0.22215758479956682,-0.6457902802280489,-0.34433731577832893,0.5190019959994572,0.36328073260339605,-0.21985178753362725,-0.6472012783212442,-0.3421987547426762,0.5229242583229066,0.35859871898823037,-0.21472264748798345,-0.6503187701480594,-0.33743710117917014
4403,302.1098,16.3215,56.454803,-8.827298,2.09883,0.33542514,0.0019643179,2.1702046,5.3193684,-31.609108,-31.72731,-31.4141,-28.145987,0.54925215,0.67571425,-0.6801673793444702,-0.35012182661795854,0.5049630335223178,0.04395762784379775,-0.9992528835618495,-0.6781553598146748,-0.3533944154410437,0.5077401651963657,0.040229566273372264,-0.9992472842306181,-0.6796195768480678,-0.3510153643042759,0.5057215871297815,0.042940872193598364,-0.9992513604107666
4405,302.4763,-21.277,21.3239,-26.352562,2.096843,1.9427791,0.35145134,1.6079063,7.2854466,-30.810497,-30.1798,-30.243813,-28.759464,1.3850898,1.3497013,0.9998727615270221,0.8473125807320429,-0.21880004717697563,-0.6354847724269347,-0.9999990328239463,0.9998731472765748,0.8468837990538072,-0.2173540402482738,-0.6363889977857153,-0.9999990298827397,0.9998737294282778,0.8462321053970638,-0.2151615947623691,-0.6377555432378442,-0.9999990254098424
4411,303.0386,-52.57,345.96164,-33.27728,1.8028088,1.9164591,2.145685,1.0767285,6.1348715,-33.39586,-33.80965,-33.60663,-28.477621,0.814662,0.5809835,-0.42065399869975034,-0.3734789241843034,0.5129689527415064,-0.3992416671605768,0.5711081981156808,-0.42144068993651246,-0.37265577794674754,0.5122639734450982,-0.3984375171852928,0.570463479144851,-0.42331465664513424,-0.37068996074445476,0.5105796530871936,-0.39651699928612655,0.5689228606998366
4415,303.4814,-87.2848,305.81165,-28.05511,1.8299717,1.4477417,0.54036254,1.4199173,4.1984305,-33.519463,-33.085995,-33.127907,-28.684225,0.5743604,0.5645728,0.3889008646981851,0.9995744057709017,0.43674893716757235,0.18311000442540085,-0.24078562996690642,0.39095362092143104,0.9995723406565595,0.43870588248773923,0.18076931607573482,-0.23850380298225896,0.3909079082919807,0.9995723868225993,0.438662266802919,0.18082156054258045,-0.23855476031802766
4427,304.3492,35.4226,73.62167,-0.07991234,2.1486278,1.9320742,0.00028748866,1.0768038,6.456399,-32.15825,-31.489437,-31.591278,-28.27889,1.3043197,1.2450857,0.999750372359233,-0.2917702939035551,0.7105238893606024,-0.37071889360472426,-0.9999627449351441,0.9997514545131128,-0.2937565856625663,0.7115979730138662,-0.37259133109684656,-0.9999625827131432,0.9997511390728814,-0.293176950473805,0.7112847484092785,-0.3720450205564173,-0.9999626301435008
4434,304.9004,6.2714,49.110733,-16.390066,2.22766,2.235879,2.0488963,2.3399467,4.099435,-31.119167,-30.919365,-31.01435,-27.83526,0.12087927,-0.38441524,0.9968611406263009,-0.023117759146703557,-0.3610849238775082,-0.38779216223137014,0.2694490289616171,0.9968605394438732,-0.023021874629242423,-0.3611683569519414,-0.3877106622357708,0.2693600980186224,0.9968733090319952,-0.025061757417369972,-0.35939223543641835,-0.3894434997431064,0.2712519550632713
4438,305.4863,36.1577,74.74949,-0.42512813,1.5736389,0.85315555,0.0003125664,1.806767,4.2922564,-35.283573,-34.47527,-34.70464,-27.914703,1.0289725,0.960846,0.8874400212324473,-0.3949664252502299,-0.9674613659767536,0.9899178541407513,0.583247027244359,0.8877672431857897,-0.3962673672769872,-0.9673624823516463,0.9898868639862913,0.5842637923920146,0.8867387000822293,-0.39218483194935294,-0.9676714097569752,0.9899836743629383,0.5810710908589248
4445,305.84,-19.785,24.155886,-28.770535,2.6055503,2.5084167,2.0501795,1.4761238,7.067654,-27.712591,-27.519522,-27.546114,-28.126364,0.54418653,0.6110948,-0.12176675087722513,-0.3544765873247429,-0.2813080808007575,-0.9997727048150135,0.9899759634645876,-0.12040539845353723,-0.3556840175757152,-0.2800352697860883,-0.9997733319377555,0.9900034853397229,-0.11496490147014113,-0.3604934774931858,-0.2749432049851003,-0.9997758189267636,0.990112636169418
4458,306.5041,47.3051,84.33202,5.3418074,2.4523525,1.8975552,0.29655677,2.1901147,4.6501327,-29.922327,-29.434582,-29.481562,-27.268152,1.0541402,1.0768497,0.9983765459466495,0.5233176193250648,-0.06316965274797284,-0.9474213642790311,-0.9999811533490874,0.9983965151416249,0.5188057807403406,-0.056998581843855846,-0.948051819592063,-0.9999809184478471,0.9984014001872045,0.5176890705827155,-0.055476655860364134,-0.9482060998658662,-0.9999808600939716
4461,306.5988,14.5225,57.273228,-13.444169,2.0565536,1.6384183,0.10804272,1.3525122,9.340619,-30.461012,-29.99945,-30.019953,-28.579596,1.4128864,1.4639452,0.9999670965876496,0.40598331990563563,0.2336729747206315,-0.6110659777027628,-0.9977613170524705,0.9999673238657864,0.40308472593812655,0.2369467902540489,-0.6132330035557432,-0.9977457633776543,0.9999671987877335,0.4046833761069179,0.23514297119424787,-0.6120397205087966,-0.9977543496203413
4463,306.7664,28.1899,68.832726,-5.882263,2.4575849,2.086441,0.2695547,2.228577,16.188873,-27.278261,-26.77509,-26.807734,-27.807634,2.0421023,2.0535386,0.4051109552600738,0.10291414365320095,-0.7651582592455471,-0.9999898282307178,0.9872670214932603,0.40882322353186784,0.09851012821606756,-0.7633076513156316,-0.9999899183402093,0.9873791082072509,0.41144339493196114,0.09538966726047748,-0.7619897729700656,-0.9999899816557835,0.9874578754046079
4468,307.3554,10.2209,53.94401,-16.394358,2.5941465,1.8014611,1.6042818,1.5427248,4.5957923,-28.416052,-28.233675,-28.260366,-27.910557,0.35303333,0.45496145,-0.6658955897841524,0.2593649831167583,-0.48159927185203816,-0.9999999536932918,0.999284852262267,-0.6608708882436185,0.2509752756104069,-0.47467688950047165,-0.9999999545169944,0.9992975688432584,-0.6600982776993254,0.24969070485729378,-0.4736145460401602,-0.9999999546414858,0.9992994908013533
4470,307.3765,-42.6285,358.23254,-35.488316,2.4682896,2.3121588,4.598359e-06,1.2939395,9.879858,-28.711302,-28.021675,-28.089787,-28.901375,1.7321323,1.712699,0.33974114658982757,0.07924939668121957,-0.9958957897630958,-0.4700257564587041,-0.9777371469962092,0.34152832407466516,0.07723999642156677,-0.9958791949535698,-0.4715993468330298,-0.9776479531357044,0.3445651686794027,0.07381779037336887,-0.9958507895125481,-0.4742713935059682,-0.9774952941030551
4473,307.5901,-50.6344,348.38428,-36.06363,1.6926519,1.6620177,1.5584302,2.4647095,6.4345875,-33.767056,-33.672543,-33.697918,-28.572216,-0.5733392,-0.5235318,0.9989506872080323,0.9470793173036883,0.3608062258376674,0.19146871583974523,0.13942463470734787,0.9989511181640326,0.9470581415271039,0.3609849259198095,0.19127074769998378,0.1396261627051557,0.9989524349688422,0.9469933192363696,0.36153137196031176,0.1906652564344099,0.14024227586304922
4476,307.6351,22.5945,64.663345,-9.738138,1.7838628,1.1637818,0.0057402123,2.2270796,5.3466773,-33.15121,-32.543617,-32.668423,-28.39071,0.8958217,0.90272534,-0.9999117039685866,0.9993877204804525,0.7607769391888656,0.005515056772292936,-0.2062563166028544,-0.999911185313116,0.9993841248639453,0.7620077662715263,0.002586546830947201,-0.20345063438730657,-0.9999120258430962,0.9993899519368866,0.7600066745614796,0.007341100677205444,-0.20800410869092315
4489,308.7571,36.5371,76.59704,-2.3414528,2.1688232,1.7601354,-0.14814764,2.0877497,23.298042,-28.522497,-27.975517,-28.032326,-27.732025,2.3692396,2.3742583,0.9999946953882299,0.5727204643598195,0.051767349360448384,-0.7827179333302217,-0.9870520349059015,0.99999473577112,0.570147207630199,0.05557725667471312,-0.7841935610082719,-0.98695335689033,0.9999946978124082,0.5725668604263088,0.051995263846721464,-0.7828064439900335,-0.9870461533595818
4490,308.8254,5.9655,50.962204,-19.88716,2.7862515,2.7972074,2.821257,2.0704434,4.975241,-27.207674,-27.261559,-27.220907,-28.016846,-0.897372,-0.97529525,-0.5202267333752612,-0.8363258627335276,0.4181900482752937,0.09324034598495987,-0.997377914923505,-0.5203536011515338,-0.8362735702374245,0.4180464958359297,0.09341281251008714,-0.997378826129844,-0.5206341635942889,-0.836157849013118,0.4177289065834182,0.09379424906813504,-0.9973808400101319
4493,309.0628,-2.133,43.549377,-24.184753,2.2543166,2.144212,0.72554046,1.8068243,5.589246,-30.016335,-29.679962,-29.646118,-28.281427,0.7916009,0.85971594,0.9997120992555932,0.07866280234889014,-0.382465657406387,-0.9999703761323177,0.9999653784283138,0.9997128209804859,0.07741522786579914,-0.3813935557280752,-0.9999704504024699,0.9999654652264185,0.999716275914546,0.07139614982502783,-0.3762094373876059,-0.9999708059469073,0.9999658807520918
4494,309.0955,56.7149,92.9894,9.512304,2.5756807,2.6307304,1.8114545,1.1427299,4.393467,-29.055,-28.834631,-28.775253,-27.687445,0.2714226,0.29152396,-0.025425814514311265,-0.4344743294566989,-0.3053080461845361,-0.9975698386400882,0.9961809995291633,-0.02622696175370742,-0.43382373444900957,-0.3060348439768895,-0.9975659437548852,0.9961748827949808,-0.016801248889899954,-0.44144767489708664,-0.29746341948317123,-0.9976113661995806,0.9962462152990661
4497,309.2524,-28.4383,15.615147,-34.404167,2.5551834,2.4683464,2.1729772,2.883558,10.372504,-27.240831,-27.080502,-27.125954,-28.154089,0.6687052,0.45444602,-0.07564269852918845,-0.2670074701352872,-0.6486814727222951,-0.09257772730711322,-0.9999986751231901,-0.07444363459635449,-0.26812698476642893,-0.6479824773689488,-0.09377316556900808,-0.9999986719240614,-0.0708038008320326,-0.2715197178183886,-0.6458547110056971,-0.09739885966952772,-0.9999986621692152
4499,309.6248,42.2085,81.52714,0.5427818,2.646717,2.788585,1.4610484,1.7076737,16.319534,-26.370403,-25.94411,-25.940615,-26.007364,1.9791183,1.9494082,-0.010927422222435207,-0.3333172186237262,-0.5446691910058642,-0.872610146857147,0.2789255329642803,-0.013108060556595608,-0.33137719972532487,-0.5462012920126107,-0.8720888798395577,0.27691301303288945,0.0009502831450212546,-0.34383359082152815,-0.5362608487892485,-0.8754144970609636,0.28984289922875695
4502,309.8557,-36.2714,6.3373585,-36.54645,2.3248901,1.9510692,1.110019,1.7878526,12.524865,-28.05853,-27.753862,-27.797148,-28.240732,1.3944345,1.4298961,0.027697043277122697,0.23229370918173883,-0.4605140589657893,-0.9971444620311536,-0.9831730568878922,0.03175586011588171,0.2284468830740265,-0.45730720863890667,-0.9971675359729109,-0.9830369479626967,0.036172239865918616,0.22425192228775992,-0.45380330388757867,-0.9971924378743466,-0.9828875692782593
4504,309.8974,-56.2836,341.26794,-37.146523,2.1693761,1.8927469,1.340394,2.5744836,41.806118,-26.91217,-26.708239,-26.744219,-27.817106,2.1496897,2.2258472,0.05373826290429001,0.19783540465940283,-0.17707808625473334,-0.775896093963966,-0.9995726922714597,0.05648182093764456,0.1951897555583235,-0.1744111488060161,-0.7769889802157429,-0.9995703344701279,0.05984519355334111,0.19194142492168945,-0.1711371005863385,-0.7783228675292695,-0.9995674252265841
4506,310.0312,-31.6243,12.026606,-35.81451,2.7088807,2.7017,2.5527864,1.992403,4.4543085,-27.507141,-27.349222,-27.442415,-28.147701,-0.04900873,-0.49233392,-0.582866891279273,-0.2060376390562992,-0.5582291337601684,0.19859403014325291,-0.9992682312507645,-0.5827944316713455,-0.20614273462543334,-0.558153559670145,0.19848861975855175,-0.9992680707722227,-0.5813436255287147,-0.2082427237569703,-0.5566411012482765,0.19637992823024755,-0.9992648528121187
4510,310.1096,3.2082,49.154896,-22.41711,2.5032802,2.4791594,2.152193,2.0150247,4.4023824,-28.938982,-28.7888,-28.808792,-28.026854,0.057449237,0.14101718,-0.04269390526483161,-0.3517678536325581,-0.1010248044952011,-0.9996857846298446,-0.36000249746683893,-0.04236327131363311,-0.3520580875623926,-0.10069692452167629,-0.9996859926772521,-0.359714180784181,-0.0383331684837748,-0.3555893924177033,-0.09669960673361447,-0.9996885171653948,-0.35619474251400224
4512,310.287,-61.6358,334.60904,-36.58385,2.210916,2.173853,2.074448,1.9879589,7.5351925,-30.274435,-30.179071,-30.217754,-28.47805,-0.14439367,-0.27334818,-0.15002373882491296,-0.007003104591877685,-0.36322743784908007,0.007383401661347317,-0.06045587490130783,-0.1496127843954332,-0.0074234814710695315,-0.36286245674902445,0.006963010413016541,-0.06003695607781248,-0.14856668260161582,-0.008493274102589253,-0.36193309283455416,0.005893155526321983,-0.05897081823422687
4513,310.2956,47.6029,86.09668,3.4537694,2.4083326,2.1861472,1.5363256,1.049195,27.919659,-26.820377,-26.554401,-26.6036,-26.979631,2.034609,2.0243611,0.14993762776455838,0.07469132875318434,-0.3480757410963317,-0.5433322177178636,-0.843008826559656,0.1525870288903092,0.071994474741782,-0.34569056412488836,-0.5452404032116512,-0.8422225098351668,0.15790978840036304,0.06656643154966238,-0.34087909586121656,-0.5490617612790113,-0.8406298755697039
4517,310.5362,-53.3361,344.92477,-37.778313,2.106121,2.1281872,2.058221,1.220695,4.317792,-31.986809,-32.02762,-31.972849,-28.575195,-1.3498626,-1.651915,-0.24826614394183683,-0.28062876583405033,-0.3196516340765377,0.5875221508117466,-0.29620693107749246,-0.2484877518174153,-0.2804111503685773,-0.31986368614088306,0.5876767864254661,-0.2964223848433133,-0.24779861879075943,-0.2810876589098197,-0.3192042652826437,0.587195841290138,-0.2957523895286168
4522,310.6957,15.3292,60.25578,-16.274836,2.1696217,2.1632364,1.9918647,1.5513357,6.1509604,-31.017347,-30.904926,-30.934341,-28.236494,-0.117104724,-0.13412735,0.5067560835981266,-0.020381215634498028,-0.2222811247399886,0.25649859251980517,-0.3170951025492658,0.5068088582414658,-0.02045217561061284,-0.22221360203745325,0.25643222161728274,-0.3170311933304561,0.5081269059577059,-0.022226585780782303,-0.22052538193302365,0.25477300415862614,-0.31543351482339027
4527,310.9796,20.853,65.06355,-13.278037,2.2866342,2.1363385,1.1380323,1.4459207,4.665789,-29.775951,-29.34795,-29.384207,-28.267159,1.0065442,0.9570119,0.6676894997493114,0.058675089588707235,-0.39882196500236294,-0.9994669064085389,0.6411990647072306,0.6686462075455332,0.05695254807700332,-0.3973675149242375,-0.9994687454992388,0.6422157097212063,0.6720879977806596,0.050719771012261286,-0.3920906138595189,-0.9994753440778389,0.6458737333461891
4528,310.9815,-48.0398,351.6291,-38.283665,2.1661723,1.6433567,0.0048273224,1.5348513,16.246523,-28.994925,-28.487936,-28.542675,-28.7129,1.8903356,1.8910081,0.9999908674156146,0.5491986900031054,-0.2181074244908076,-0.9999999977649328,0.999966829976655,0.9999909510871713,0.5459766027582397,-0.21371993017669697,-0.9999999977854107,0.9999671338760474,0.9999908997967877,0.5479571689187163,-0.21641523935882884,-0.999999997772858,0.9999669475899025
4532,311.4122,24.9231,68.64576,-11.164032,2.1151965,2.1131966,2.19745,2.2311833,4.567049,-31.519333,-31.492918,-31.566082,-28.216171,-1.9206606,-0.4335736,0.9573964430436873,-0.16901525256882338,-0.06836145738172489,0.13408395483599486,-0.9970119609676348,0.957398224657436,-0.1690359832128073,-0.06834019509455498,0.1340629703141269,-0.9970118335588317,0.9573206724976892,-0.1681332017786763,-0.06926501793855544,0.134975378612165,-0.9970173733738074
4533,311.488,-68.5951,326.09143,-35.461548,2.190262,1.7410824,-0.22151224,2.0900657,11.335643,-29.828115,-29.350325,-29.368174,-28.823654,1.6106128,1.6326209,-0.03463571784813708,0.3862087475380738,-0.10143419062561458,-0.8342221014406025,-0.9830766911440292,-0.030437280124002153,0.382626966170217,-0.09727279986617633,-0.8354956133675824,-0.9829350570262538,-0.03499327558859045,0.38651331368070274,-0.10178847275416411,-0.8341132154849596,-0.983088700385612
