,Source_Name,RAJ2000,DEJ2000,GLON,GLAT,Conf_68_SemiMajor,Conf_68_SemiMinor,Conf_95_PosAng,ROI_num,Extended_Source_Name,Signif_Avg,Pivot_Energy,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Flux_Density,Unc_PL_Flux_Density,PL_Index,Unc_PL_Index,LP_Flux_Density,Unc_LP_Flux_Density,LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,Unc_PLEC_Flux_Density,PLEC_Index,Unc_PLEC_Index,PLEC_Expfactor,Unc_PLEC_Expfactor,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,Unc_Frac_Variability,CLASS1,Flags,Flux50_100,Flux300_1000,Flux1000_3000,Flux3000_10000,Flux10000_30000,Flux30000_100000,AGNness,PSRness
1059,4FGL J1854.3-3640,283.5982,-36.6798,359.62442000000004,-16.354572,0.04576116400000001,0.040272295,-43.65,1214,,4.6157246,2032.0803,2.1880557e-10,4.955713e-11,2.4772307e-12,5.6461346e-13,PowerLaw,5.5201778e-14,1.2471483e-14,2.1710796,0.13521816,8.488621e-14,1.954375e-14,1.9867305,0.38826940000000004,0.39839005,2.9146216000000003,8.238505e-14,1.9700908999999998e-14,0.63078713,0.9071097,0.010374885,0.005548014,0.6666667,3.0743034,263.28732,4.9514949999999995,0.0,9.999999,unid,0,6.053077960740949e-13,5.512151846076563e-10,1.5359112592872037e-10,9.254721294871259e-11,5.685500870674618e-17,3.996010489328407e-15,Non-AGN,Non-PSR
1060,4FGL J1854.7+0153,283.6951,1.8935,34.998062,0.11998991,0.07363724,0.033611637,-33.13,93,,10.733747,3106.7659,4.6635280000000005e-09,6.083184e-10,3.3598582e-11,9.834530000000001e-12,LogParabola,3.1976396e-13,3.6933906000000004e-14,2.439556,0.06005269,4.5420308e-13,4.9895755999999995e-14,2.6042147,0.14395073,0.25206256,5.177643,4.6770395e-13,6.344960999999999e-14,1.5386683,0.5229391999999999,0.006372388499999999,0.0032257591,0.6666667,5.1003947,1650.9492,1.0890725,0.0,9.999999,unid,6,4.032542832987929e-08,1.8792322364902248e-08,3.3938623023033188e-09,7.540918445236855e-10,4.572534711977382e-11,3.0766405925432612e-18,Non-AGN,Non-PSR
1061,4FGL J1855.2+0756,283.8124,7.947,40.442585,2.7732754,0.07616582,0.04193746,7.72,369,,5.1314273,5419.99,7.0995754e-10,1.841189e-10,8.196022e-12,2.5631556e-12,PowerLaw,2.0438022000000002e-14,4.3629257e-15,2.217767,0.16636986,2.0228285e-14,4.7666152e-15,2.213295,0.18015810000000002,-0.0040674647,0.0612216,1.9638101e-14,6.9571483e-15,2.2951900000000003,0.13909228,-0.00021760269000000002,0.0009628047,0.6666667,0.5164469,470.7683,5.4025865,0.0,9.999999,unid,12,1.0306783204683255e-11,5.8615658993232955e-09,8.049997335390913e-10,7.542205054944517e-11,1.710408377431083e-11,2.2042949063272307e-11,Non-AGN,Non-PSR
1062,4FGL J1855.2+0456,283.8159,4.9427,37.767063,1.4031403,0.045576148,0.036880292,15.33,541,,9.299728,1646.1853,1.9920006e-09,2.2698267000000003e-10,2.362766e-11,4.324449e-12,LogParabola,6.886528e-13,8.498286000000001e-14,2.595325,0.07228052,9.381278000000001e-13,1.1106546000000001e-13,2.796174,0.14607951,0.21870174,4.065345,9.139207e-13,1.1713486e-13,2.037604,0.23499021,0.005984382700000001,0.0026621823,0.6666667,3.5182004,1313.7446,3.1145096000000003,0.0,10.0,unid,4,5.550264137177408e-10,1.095753265900612e-08,1.641618618819507e-09,2.3095053647281816e-10,7.148944630719356e-12,1.1750573748626137e-17,Non-AGN,Non-PSR
1063,4FGL J1855.3-0740,283.83099999999996,-7.6775,26.526712,-4.351378400000001,0.09170735,0.08313484,-28.17,368,,7.974752400000001,999.57214,7.027065599999999e-10,1.1230665e-10,4.9930025e-12,7.496431e-13,LogParabola,8.227314000000001e-13,1.3003476e-13,2.6604815,0.10529616,1.6161871000000001e-12,2.0717567e-13,2.5897436000000003,0.2694263,0.99905914,5.2580566,1.4823396e-12,1.770252e-13,0.28537923,0.21912247,0.032335117000000003,0.0012655074,0.6666667,5.1809855,631.3713,6.4574237,0.08720879,0.43556306,unid,2050,3.4089384093327624e-11,2.311158375789546e-09,6.894179116478938e-10,1.652429235110553e-11,5.850852289890498e-17,5.411072518978269e-16,Non-AGN,Non-PSR
1064,4FGL J1855.6-3603,283.9149,-36.0611,0.32182488,-16.359652,0.075364076,0.069011785,13.57,1214,,6.744264,1300.8296,4.0449594e-10,6.9367234e-11,2.0897046999999998e-12,4.329274e-13,LogParabola,1.8885991e-13,3.6410575e-14,2.2943776000000002,0.11017011,3.799889e-13,6.1687194e-14,2.2969906000000004,0.31096503,0.8043309000000001,4.4256687,3.569756e-13,6.820633e-14,0.1467436,0.8969036,0.024564981,0.011617961000000001,0.6666667,4.1979513,314.0932,1.9230616999999999,0.0,10.0,unid,1,1.5604384104306313e-11,7.105456223399643e-10,3.710846074866936e-10,3.571432038995681e-11,2.864318991138617e-15,7.05071919360374e-15,Non-AGN,Non-PSR
1065,4FGL J1855.8+0150,283.9576,1.8432,35.073,-0.13642293,0.038360436,0.027136,15.04,93,,7.2972455,4005.38,2.8395342e-09,7.108760000000001e-10,1.889897e-11,8.674954e-12,LogParabola,1.2039939e-13,2.0265522e-14,2.366457,0.08635897,1.6989029999999997e-13,2.759445e-14,2.4535146,0.2146867,0.24157703,3.5303097,1.7081944e-13,2.8632072e-14,1.5272238,0.4343469,0.0044926144,0.0019659507,0.6666667,3.523562,903.8001,10.031048,0.29899094,0.23325810000000002,unid,5,3.277914828458961e-08,2.3570043486409447e-11,2.273091714855013e-09,4.602246916896036e-10,1.0655933774250671e-10,3.60878014946419e-18,Non-AGN,Non-PSR
1066,4FGL J1856.1-1222,284.0329,-12.3751,22.396849,-6.633878999999999,0.027814401000000002,0.023373965,-53.42,617,,8.759459,3377.5513,5.714677e-10,8.421235999999999e-11,6.500918e-12,1.0604031999999998e-12,PowerLaw,4.760046e-14,6.742819e-15,2.1841228,0.10382487,5.234345e-14,8.275454e-15,2.184548,0.13463114,0.068913475,1.1743496999999998,5.2341507e-14,8.442027000000001e-15,1.9415908,0.25717884,0.0011559947,0.0011580634,0.6666667,1.2256781,514.8067,10.503306,0.25017998,0.21695389,unid,4,6.5052234432538825e-12,2.688023137409345e-09,2.3659826875466194e-10,1.5254604524006507e-10,3.3307502589341453e-11,4.460256816662955e-12,Non-AGN,Non-PSR
1067,4FGL J1856.5+1735,284.1387,17.5999,49.239906,6.830717599999999,0.04329426,0.03755869,-38.85,546,,7.074393,1326.0515,4.2826742e-10,6.508451e-11,6.564277000000001e-12,1.1617604e-12,PowerLaw,3.2132984999999997e-13,4.703163e-14,2.532686,0.11229991,4.0572195000000003e-13,6.980908e-14,2.4022822,0.19046545,0.23424810000000001,2.0196786,4.000268e-13,7.014189e-14,1.7663229999999999,0.38218018,0.0068103457,0.0033963820000000003,0.6666667,2.3356998,676.4537,4.7541103,0.0,10.0,unid,0,3.860735020566608e-08,1.6888574982942828e-09,3.677222137898895e-10,9.01234503691839e-11,5.476814981179413e-16,8.282433212644767e-16,Non-AGN,Non-PSR
1068,4FGL J1857.1+0056,284.2987,0.946,34.43025,-0.8492683000000001,0.02392902,0.018995201,-38.44,13,,9.113672,4101.719,2.5570340000000003e-09,5.245738e-10,1.4152439999999999e-11,2.3843884999999996e-12,LogParabola,1.39361e-13,1.9478495000000002e-14,2.3206553,0.073195785,2.4338726e-13,3.5813485e-14,2.116134,0.21953027,0.68155724,5.050534,2.292697e-13,3.8299414999999996e-14,0.6538438,1.131973,0.008301998,0.005334251,0.6666667,5.0271873,735.9522,4.383521,0.0,10.0,unid,20,2.040864366392725e-09,2.462942294556569e-09,2.2218598072498708e-09,6.920109485442082e-10,9.580453097512986e-11,7.37293689642704e-13,Non-AGN,Non-PSR
