,Source_Name,RAJ2000,DEJ2000,GLON,GLAT,Conf_68_SemiMajor,Conf_68_SemiMinor,Conf_95_PosAng,ROI_num,Extended_Source_Name,Signif_Avg,Pivot_Energy,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Flux_Density,Unc_PL_Flux_Density,PL_Index,Unc_PL_Index,LP_Flux_Density,Unc_LP_Flux_Density,LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,Unc_PLEC_Flux_Density,PLEC_Index,Unc_PLEC_Index,PLEC_Expfactor,Unc_PLEC_Expfactor,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,Unc_Frac_Variability,CLASS1,Flags,Flux50_100,Flux300_1000,Flux1000_3000,Flux3000_10000,Flux10000_30000,Flux30000_100000,AGNness,PSRness
4958,4FGL J2324.7-4041,351.1817,-40.6834,350.1928,-67.58003,0.010176,0.009744291,-24.67,300,,30.800884,3032.8284,1.0444077e-09,7.489338e-11,1.1638111e-11,1.0185183e-12,LogParabola,1.1389299e-13,7.8003095e-15,1.7773997,0.04717613,1.2719383e-13,9.933024e-15,1.576972,0.09144156,0.10631044,3.0742638,1.2189896e-13,9.144887e-15,1.4344964,0.122522734,0.0009697912,0.00035326547,0.6666667,3.5537395,532.6579,49.443077,0.46678922,0.1454098,bll,0,6.112381711886883e-09,1.2914883606995886e-09,5.186304163906641e-10,3.066383813532525e-10,1.2379523794958658e-10,5.691082327619057e-11,AGN,Non-PSR
4959,4FGL J2324.7+0801,351.1896,8.0282,89.02081,-49.05167,0.022942256,0.021770474,89.35,718,,17.27651,1548.1315,6.7832917e-10,6.033835e-11,7.801309e-12,6.655184e-13,PowerLaw,3.1351609e-13,2.6669061e-14,2.2098117,0.07013962,3.4311928e-13,3.489409e-14,2.1523871,0.094161205,0.07564624,1.490029,3.3404345e-13,3.1710786e-14,2.0089068,0.16377702,0.0013174083,0.0010366024,0.6666667,1.5868739,813.3699,20.21562,0.35816795,0.14392371,bll,0,2.9974251969377974e-09,2.1361414859200067e-09,4.935729602806305e-10,1.675171668047426e-10,2.6696991839436635e-11,7.202680726153821e-12,AGN,Non-PSR
4960,4FGL J2325.2-2010,351.3075,-20.1746,47.738155,-69.10543,0.036510255,0.030836364,-63.81,1159,,6.5853972,3711.5837,1.5168637e-10,3.5606917e-11,1.7147247e-12,3.8625505e-13,PowerLaw,1.1284238e-14,2.541755e-15,1.9570969,0.20471826,9.12674e-15,2.4056354e-15,2.1385365,0.12726448,-0.094469555,1.2529417,1.1757138e-14,2.851483e-15,1.7486887,0.43582216,0.00045911365,0.0009090854,0.6666667,0.51385564,137.58493,10.232189,0.43090564,0.43553308,bcu,0,9.013272848348505e-14,2.9304850213129896e-10,6.861917978273624e-11,3.3488933848246916e-11,1.853299111398421e-11,1.6468364215718734e-12,AGN,Non-PSR
4961,4FGL J2325.2+3957,351.3154,39.9542,105.502754,-19.98307,0.01196451,0.01128611,69.31,934,,34.831444,1227.7589,1.7309254e-09,8.697433e-11,1.4268579e-11,9.193772e-13,LogParabola,1.1217467e-12,5.2041667e-14,2.0864587,0.034206375,1.2730283e-12,6.790587e-14,1.9570563,0.05510308,0.11330469,4.7167664,1.2152517e-12,6.2009066e-14,1.7670513,0.08914823,0.002145307,0.00060058385,0.6666667,4.8025064,1525.9316,62.24184,0.373245,0.11193178,bll,0,4.471287489565823e-12,4.275049647617379e-09,1.137112404236973e-09,3.8277320202340093e-10,9.181423676896117e-11,6.4097052318579095e-12,AGN,Non-PSR
4962,4FGL J2325.4-4800,351.3501,-48.0022,335.9466,-63.239315,0.014493091,0.0125195645,-23.6,299,,29.471794,1878.3995,1.0408574e-09,6.224695e-11,1.16185984e-11,6.813774e-13,PowerLaw,3.078144e-13,1.8027e-14,2.117097,0.05121564,3.1573287e-13,2.1479504e-14,2.0921462,0.06533687,0.021136716,0.6901729,3.1813183e-13,1.9917533e-14,2.003085,0.09642023,0.00054666295,0.00041815,0.6666667,1.5108422,1238.7277,44.855175,0.39729887,0.1252104,bll,0,3.020113226170906e-08,3.000014903165038e-09,7.307652261090425e-10,2.313141345133829e-10,6.046532025072437e-11,2.0767177907887735e-11,AGN,Non-PSR
4963,4FGL J2325.4-3559,351.3586,-35.9878,1.7202271,-69.71118,0.01603491,0.015541527,-51.78,707,,45.946255,617.9112,1.7775312e-09,8.260625e-11,1.5911423e-11,7.3424117e-13,LogParabola,6.5029804e-12,2.2399312e-13,2.2927773,0.027899388,7.605767e-12,3.0835054e-13,2.08582,0.048544772,0.19266313,7.3121295,7.308998e-12,2.850558e-13,1.7131811,0.098675035,0.007008705,0.0012061872,0.6666667,7.716475,2313.4863,82.88252,0.3252162,0.094777055,fsrq,0,3.07221803552693e-08,6.480658676366602e-09,1.5320046342637283e-09,2.538833032694754e-10,9.144633834889948e-12,1.142324938051384e-15,AGN,Non-PSR
4964,4FGL J2325.6+1644,351.4248,16.746,95.10169,-41.446236,0.03589353,0.03028131,-15.95,891,,7.790304,2995.8618,2.2484467e-10,4.0851784e-11,2.5391275e-12,4.6507687e-13,PowerLaw,2.542971e-14,4.606834e-15,1.960217,0.12744139,2.9325893e-14,6.4350317e-15,1.8913045,0.17836198,0.103885405,1.1246681,2.889344e-14,6.022557e-15,1.5977229,0.35449335,0.0016134979,0.0015043024,0.6666667,1.2332059,196.89606,15.501444,0.64064866,0.30970812,bll,0,1.1841645116458365e-14,3.5469077674932237e-10,1.7257861806285746e-10,5.0076890550920794e-11,2.6861304847081158e-11,6.599034109920057e-16,AGN,Non-PSR
4965,4FGL J2325.7+1821,351.436,18.3654,96.0312,-39.988037,0.030836364,0.03028131,-40.16,891,,8.730649,926.92584,2.8437258e-10,4.5182545e-11,4.0303273e-12,5.669399e-13,PowerLaw,5.033733e-13,6.760439e-14,2.4668007,0.113005556,4.856182e-13,7.8320075e-14,2.4792671,0.10930861,-0.02224906,0.34175235,4.935269e-13,6.754347e-14,2.5148022,0.12800442,-0.00035815442,0.0004369791,0.6666667,0.6030208,553.39435,20.731052,0.5273681,0.21513954,bcu,0,1.0294480545791629e-10,1.6166579186460694e-09,1.9911819415519005e-10,3.7961547100229254e-11,2.579015993819933e-12,7.745091026856166e-12,AGN,Non-PSR
4966,4FGL J2325.9+6206,351.4969,62.1049,113.11826,0.8723348,0.083381526,0.06777833,11.86,1683,,5.963341,976.80524,4.86111e-10,8.260217e-11,9.9210145e-12,1.864577e-12,PowerLaw,8.990144e-13,1.4169597e-13,2.7347884,0.106539704,1.0548801e-12,1.0319763e-12,2.7995367,0.4131642,0.10995053,1.5500553,1.0201932e-12,2.274655e-13,2.471592,0.43049714,0.0034576242,0.0050443835,0.6666667,1.3079578,906.7214,2.9418483,0.0,10.0,bcu,1,3.5417946353533125e-10,4.0637848641722485e-09,3.185325336829692e-10,7.762587100890173e-11,2.4084083252023936e-12,5.248258492835008e-15,AGN,Non-PSR
4967,4FGL J2326.2+0113,351.5748,1.2216,83.654495,-55.02185,0.046316218,0.032563202,23.38,457,,4.299319,10162.413,7.453626e-11,3.2216528e-11,1.0260973e-12,3.6457493e-13,PowerLaw,1.0723873e-15,3.810367e-16,1.6845951,0.23145656,1.0118275e-15,4.580272e-16,1.7028089,0.22889031,-0.023083024,0.1929586,1.0854122e-15,4.3595497e-16,1.6543905,0.41628656,3.6622827e-05,0.0004994431,0.6666667,0.058973398,44.526466,5.901591,0.0,10.0,bcu,0,1.2342591837466443e-08,5.314370471465324e-11,5.0202394324960764e-11,9.760509241119042e-12,1.2157864125172946e-11,9.72359692763547e-12,AGN,Non-PSR
