,GLON,GLAT,PSRness
545,141.766,-7.2721257,Non-PSR
546,170.19295,-45.57186,Non-PSR
547,172.27292,-46.978577,Non-PSR
548,150.72017,-22.032398,Non-PSR
550,192.5577,-56.85885,Non-PSR
551,159.00262,-33.335243,Non-PSR
553,140.70526,-3.5037253,Non-PSR
554,169.12056,-43.319084,Non-PSR
555,160.06702,-34.068935,Non-PSR
556,200.91907,-58.78079,Non-PSR
557,200.81451,-58.35679,Non-PSR
558,156.30672,-28.55573,Non-PSR
559,229.40672,-61.439686,Non-PSR
560,290.0012,-41.77624,Non-PSR
562,221.36055,-61.08556,Non-PSR
565,153.12115,-23.214045,Non-PSR
566,295.70593,-35.982086,Non-PSR
567,171.83876,-44.063877,Non-PSR
568,214.62746,-60.176105,Non-PSR
569,267.96268,-54.675552,Non-PSR
570,144.99092,-9.854434,Non-PSR
571,280.24564,-48.702312,Non-PSR
572,223.59253,-60.665897,Non-PSR
573,134.74489,8.591057,Non-PSR
574,179.16022,-48.693592,Non-PSR
576,185.49445,-51.962585,Non-PSR
577,200.36003,-57.165096,Non-PSR
578,144.5515,-7.8197136,Non-PSR
579,183.96553,-50.29342,Non-PSR
581,224.3554,-59.877693,Non-PSR
582,174.85263,-44.50769,Non-PSR
584,169.17177,-39.717525,Non-PSR
585,246.1685,-58.7529,Non-PSR
586,188.81047,-51.972042,Non-PSR
587,278.10864,-48.940758,Non-PSR
588,263.63104,-54.858116,Non-PSR
589,193.08606,-53.345444,Non-PSR
590,236.43253,-59.28365,Non-PSR
591,150.91856,-16.92144,Non-PSR
592,134.97488,9.40151,Non-PSR
593,253.2739,-57.234913,Non-PSR
595,231.2844,-59.09164,Non-PSR
596,212.31416,-57.711533,Non-PSR
598,178.53134,-45.47984,Non-PSR
599,152.40927,-18.412935,Non-PSR
600,149.57016,-14.1079235,Non-PSR
604,174.15288,-41.88516,Non-PSR
605,264.312,-53.97392,Non-PSR
607,282.9889,-45.37054,Non-PSR
608,220.62161,-58.010555,Non-PSR
609,149.33185,-12.829796,Non-PSR
610,193.97945,-52.199593,Non-PSR
611,271.7171,-51.003952,Non-PSR
612,281.55563,-46.03505,Non-PSR
613,172.09576,-39.57533,Non-PSR
614,219.58904,-57.73087,Non-PSR
615,150.1939,-13.701539,Non-PSR
616,188.70128,-49.741585,Non-PSR
617,223.25856,-57.704338,Non-PSR
618,252.94084,-56.091434,Non-PSR
620,162.82187,-29.634989,Non-PSR
621,287.53165,-41.667034,Non-PSR
622,150.57997,-13.2580595,Non-PSR
623,165.11697,-31.698418,Non-PSR
624,242.37767,-57.067585,Non-PSR
625,162.09285,-27.596306,Non-PSR
626,137.41837,7.58242,Non-PSR
628,173.13441,-38.004227,Non-PSR
629,184.03368,-45.225395,Non-PSR
630,199.39087,-51.70182,Non-PSR
631,155.73112,-18.713596,Non-PSR
632,211.01723,-54.496883,Non-PSR
633,217.00449,-55.402073,Non-PSR
634,156.24226,-19.195503,Non-PSR
635,270.82443,-49.8216,Non-PSR
636,204.8792,-52.935646,Non-PSR
637,163.67827,-27.973644,Non-PSR
638,207.93642,-53.5994,Non-PSR
639,180.7576,-42.41934,Non-PSR
640,234.4194,-56.072918,Non-PSR
641,207.17268,-53.0113,Non-PSR
646,271.34875,-49.08596,Non-PSR
648,149.07095,-7.649857,Non-PSR
649,179.5183,-40.131935,Non-PSR
651,217.29175,-54.11109,Non-PSR
652,264.8781,-50.906136,Non-PSR
653,276.97458,-46.318047,Non-PSR
654,139.95448,5.6943493,Non-PSR
655,198.24857,-49.17539,Non-PSR
657,128.17961,21.286392,Non-PSR
658,182.15796,-40.985092,Non-PSR
660,130.55371,18.462017,Non-PSR
661,160.5221,-21.50749,Non-PSR
662,153.63254,-12.877236,Non-PSR
663,138.67203,7.8419194,Non-PSR
664,240.16177,-54.38741,Non-PSR
665,244.77179,-54.074482,Non-PSR
666,154.18399,-13.450995,Non-PSR
667,252.70174,-52.934036,Non-PSR
669,158.91551,-18.696823,Non-PSR
670,189.68025,-44.246796,Non-PSR
671,238.02415,-53.934765,Non-PSR
