,Source_Name,Conf_68_SemiMajor,Conf_68_SemiMinor,Conf_95_PosAng,ROI_num,Extended_Source_Name,Signif_Avg,Pivot_Energy,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Flux_Density,Unc_PL_Flux_Density,PL_Index,Unc_PL_Index,LP_Flux_Density,Unc_LP_Flux_Density,LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,Unc_PLEC_Flux_Density,PLEC_Index,Unc_PLEC_Index,PLEC_Expfactor,Unc_PLEC_Expfactor,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,Unc_Frac_Variability,CLASS1,Flags,Flux50_100,Flux300_1000,Flux1000_3000,Flux3000_10000,Flux10000_30000,Flux30000_100000,BLLness,FSRQness
3676,4FGL J1745.6-3145,0.03681862,0.027136,66.01,1566,,6.236207,3005.6506,1.2718943e-09,2.28992e-10,7.714713e-12,2.3062734e-12,LogParabola,7.408095e-14,1.7662487e-14,2.3507423,0.12682335,1.4302661e-13,2.609858e-14,2.5720649,0.30846378,0.34993276,3.3758168,1.4586062e-13,4.418497e-14,1.236488,1.2866194,0.008641546,0.007974559,0.6666667,3.17664,542.19366,14.740482,0.46330446,0.24484643,unid,16,6.918605066630334e-08,1.5594762148296581e-09,8.713578747432393e-10,1.8761278641754586e-10,3.21588415619356e-11,1.9051021204379362e-14,Non-BLL,Non-FSRQ
3679,4FGL J1746.1-2541,0.033303276,0.031206401,88.53,165,,4.5095677,2157.295,7.549873e-10,1.5355037e-10,1.1813297e-11,3.2240911e-12,PowerLaw,1.6482253e-13,3.3426312e-14,2.548964,0.12964158,2.150092e-13,4.1657954e-14,2.5904973,0.25324067,0.22695555,2.179052,2.202162e-13,4.6755097e-14,1.6967887,0.6034596,0.0066603115,0.0044358294,0.6666667,2.204675,585.4392,2.4897728,0.0,10.0,unid,24,5.979948536349866e-09,3.831341022220158e-09,6.603630420265461e-10,1.2494230650084148e-10,1.0624974858264302e-11,7.559132085468295e-14,Non-BLL,Non-FSRQ
3682,4FGL J1746.5-2019,0.052668512,0.036448583,5.78,270,,6.3687863,1739.8624,7.244424e-10,1.1577815e-10,1.1407764e-11,2.2901275e-12,PowerLaw,2.737325e-13,4.370106e-14,2.553913,0.101044275,3.609385e-13,1.251989e-13,2.865302,1.3382077,0.27014604,2.7641375,3.696283e-13,8.409392e-14,1.6428378,0.84907573,0.012264049,0.009109236,0.6666667,2.1056755,788.29645,12.040046,0.37863046,0.27037835,unid,16,1.0167807706906729e-09,6.2034888337336724e-09,4.4487685757488293e-10,8.209333213216041e-11,1.8691220446398482e-11,2.9013191588794784e-12,Non-BLL,Non-FSRQ
3684,4FGL J1747.0-3505,0.031576436,0.02756771,54.69,1530,,13.753097,1591.4623,1.5268468e-09,1.4461216e-10,1.0704017e-11,1.909167e-12,LogParabola,5.625173e-13,5.0921693e-14,2.5504308,0.063103184,8.428304e-13,8.732819e-14,2.8401332,0.22101335,0.5752085,5.8176937,8.763068e-13,1.2158761e-13,0.5641439,0.7100093,0.02433187,0.007622375,0.6666667,5.5975976,1158.2739,5.2903852,0.0,10.0,unid,6,7.105047106215068e-10,5.587574403165263e-09,1.3232429596499173e-09,7.756920800128242e-11,9.902877996792459e-12,2.9377615791414957e-12,Non-BLL,Non-FSRQ
3689,4FGL J1747.6+0324,0.028431129,0.02528582,-69.86,1242,,13.093569,1500.1522,8.810166e-10,8.89956e-11,6.2248063e-12,8.9977185e-13,LogParabola,3.7965407e-13,3.7066694e-14,2.265806,0.071116425,4.6992754e-13,5.217434e-14,2.0614235,0.12283414,0.21192499,3.2610378,4.5445868e-13,5.0129422e-14,1.5441312,0.27871656,0.005021771,0.0019974047,0.6666667,3.5417676,658.09186,5.03201,0.0,10.0,unid,0,1.1526101850733994e-08,1.6184532602991908e-09,6.231411497914507e-10,2.2010251954363014e-10,1.2367044020800133e-11,7.989085056582512e-16,Non-BLL,Non-FSRQ
3690,4FGL J1747.7-2141,0.04495942,0.0393472,-70.23,1514,,5.5782347,1291.479,6.272728e-10,1.1173796e-10,1.0510369e-11,2.212873e-12,PowerLaw,5.163111e-13,8.917632e-14,2.600557,0.11996608,7.0248375e-13,2.1824876e-13,2.9642282,1.0935898,0.3602109,2.1680427,5.691718e-13,2.831994e-13,2.4222462,0.95212847,0.0020128845,0.010802282,0.6666667,0.8097205,678.5176,6.213621,0.0,10.0,unid,1,1.2184550035598818e-09,5.614889442284721e-09,4.248199569900635e-10,2.7441795363847277e-11,1.5667266095586996e-11,4.629593403658225e-19,Non-BLL,Non-FSRQ
3692,4FGL J1747.8-0316,0.028616145,0.02639593,-8.78,1341,,4.3607864,5938.8906,2.0538037e-10,6.6578215e-11,2.2965132e-12,7.0505456e-13,PowerLaw,5.8932046e-15,1.6691933e-15,1.9974488,0.19102335,7.729459e-15,2.4420606e-15,1.8257576,0.2991301,0.215161,1.3057574,7.133755e-15,2.2269608e-15,1.4593341,0.5324032,0.0015012346,0.0014901545,0.6666667,1.1713037,154.78893,1.5764614,0.0,10.0,unid,0,1.583562274365402e-11,1.171408754501932e-13,6.474910191345273e-11,7.968419674098115e-11,1.404617568090405e-11,3.2224862969026935e-12,Non-BLL,Non-FSRQ
3693,4FGL J1747.9-3224,0.03484509,0.03009629,7.83,1729,,5.256477,3188.9224,1.0577642e-09,2.432332e-10,5.8762877e-12,2.0320863e-12,LogParabola,6.7050417e-14,1.5152913e-14,2.3425038,0.119092874,1.1093085e-13,2.3542508e-14,2.5064156,0.28465417,0.40369195,3.3445678,1.1360288e-13,3.9047358e-14,0.96673954,1.0620126,0.00935091,0.0069223177,0.6666667,3.2914329,454.83234,10.341393,0.45742443,0.3433415,unid,17,1.1967217217190296e-09,1.0284624263334763e-09,7.04033997767084e-10,1.8229941167735575e-10,2.6610420464368012e-11,1.562741376970702e-16,Non-BLL,Non-FSRQ
3698,4FGL J1748.2-1942,0.030342981,0.02824611,14.07,270,,6.3238235,2469.0596,6.5447e-10,1.1067397e-10,8.629159e-12,1.8622638e-12,PowerLaw,1.0487254e-13,1.7578116e-14,2.397843,0.116652004,1.1864565e-13,2.0552794e-14,2.4631164,0.18718036,0.08546092,1.3214629,1.09874505e-13,3.2689553e-14,2.3046281,0.13142627,0.000572007,0.0014893227,0.6666667,0.678459,610.1731,3.301001,0.0,10.0,unid,24,8.940056160644527e-12,2.568333767882791e-09,5.124152213653588e-10,6.24163776219433e-11,2.254985781435792e-11,6.129127587406469e-12,Non-BLL,Non-FSRQ
3699,4FGL J1748.3-2906,0.02146211,0.017761746,-53.6,108,,12.479242,2217.7664,4.3039683e-09,4.738061e-10,2.1197925e-11,4.00668e-12,LogParabola,7.0834994e-13,7.2650185e-14,2.5115519,0.057468906,1.110918e-12,1.169696e-13,2.2513072,0.19011217,0.565198,6.414464,1.0896586e-12,1.1061218e-13,0.7437929,0.32337698,0.012387391,0.0020476195,0.6666667,6.5468287,1227.8756,6.1551976,0.0,10.0,unid,258,2.009984889639327e-08,7.4094783641953654e-09,3.34897176657023e-09,8.225807257566942e-10,5.667214267313092e-11,7.71222598502534e-16,Non-BLL,Non-FSRQ
3700,4FGL J1748.4+1601,0.107125536,0.09269411,44.16,5,,4.524127,1231.5771,2.0166831e-10,4.4043758e-11,2.6629638e-12,5.7906533e-13,PowerLaw,1.7141911e-13,3.561518e-14,2.3993812,0.13538818,2.8147482e-13,6.444425e-14,2.3867412,0.30252096,0.5132443,2.8476784,2.6222563e-13,5.0293445e-14,1.0246874,0.51075566,0.015732186,0.006050507,0.6666667,2.6563084,358.2757,5.235445,0.0,10.0,unid,0,1.208971811550441e-10,1.071478239467183e-09,1.861805987157794e-10,4.218808982714428e-11,5.754095981023435e-17,1.763580697349679e-16,Non-BLL,Non-FSRQ
3704,4FGL J1749.0-2327,0.092817456,0.054395348,87.82,1712,,6.6230297,923.739,7.469331e-10,2.9241243e-10,1.1220838e-11,2.808761e-12,LogParabola,1.4645045e-12,2.5092116e-13,2.71159,0.1068275,2.3274564e-12,3.6892055e-13,2.9890046,0.5697702,0.52535605,3.7579234,2.3752513e-12,3.9799438e-13,0.96957463,0.8268547,0.029479884,0.014794851,0.6666667,3.545823,819.31915,6.7670665,0.0,10.0,unid,0,6.350245218555983e-09,7.390228429215995e-09,3.9421474418155356e-10,8.602888366959771e-12,1.8049699105140982e-12,9.564560515123999e-16,Non-BLL,Non-FSRQ
