,Source_Name,Conf_68_SemiMajor,Conf_68_SemiMinor,Conf_95_PosAng,ROI_num,Extended_Source_Name,Signif_Avg,Pivot_Energy,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Flux_Density,Unc_PL_Flux_Density,PL_Index,Unc_PL_Index,LP_Flux_Density,Unc_LP_Flux_Density,LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,Unc_PLEC_Flux_Density,PLEC_Index,Unc_PLEC_Index,PLEC_Expfactor,Unc_PLEC_Expfactor,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,Unc_Frac_Variability,CLASS1,Flags,Flux50_100,Flux300_1000,Flux1000_3000,Flux3000_10000,Flux10000_30000,Flux30000_100000,AGNness,PSRness
49,4FGL J0013.9-1854,0.02436073,0.021585455,-64.38,1247,,11.508996,2609.2893,2.792798e-10,3.9245805e-11,3.1480432e-12,4.547574e-13,PowerLaw,4.1416225e-14,5.820269e-15,1.9660697,0.10228895,4.660675e-14,7.719121e-15,1.8764379,0.15060115,0.08232986,1.2266418,4.6279847e-14,7.339708e-15,1.6217029,0.2677723,0.0014194719,0.0011011278,0.6666667,1.6932994,260.45328,2.6081078,0.0,9.999999,bll,0,1.041818276092954e-08,4.899486927278929e-10,1.8556056691210188e-10,8.142654606135835e-11,2.0249661322746526e-11,7.530713899694952e-12,AGN,Non-PSR
50,4FGL J0014.1+1910,0.06253615,0.04489775,53.71,1133,,6.2304435,1473.7736,1.9381756e-10,3.7487232e-11,2.295955e-12,4.346078e-13,PowerLaw,1.0209622e-13,1.9085053e-14,2.2641912,0.12803715,1.457511e-13,3.0203772e-14,2.071025,0.2772186,0.34991562,2.6598947,1.4398465e-13,3.025056e-14,1.0306013,0.6566895,0.010357802,0.005486404,0.6666667,2.7740335,280.91638,16.311121,0.5562156,0.30983162,bll,0,3.0298666353623105e-11,8.966523079578792e-10,1.7388294970555052e-10,4.475122009073296e-11,2.846682124050447e-16,2.74447153511672e-19,AGN,Non-PSR
51,4FGL J0014.1-5022,0.037435345,0.032193165,-23.85,1240,,10.176719,2545.143,2.5761307e-10,3.69074e-11,2.8836386e-12,4.1998013e-13,PowerLaw,4.0156738e-14,5.7531367e-15,1.9924736,0.10604622,4.7417362e-14,7.9323534e-15,1.867736,0.17179203,0.13571842,1.7620411,4.5705766e-14,7.390088e-15,1.586722,0.29849443,0.0018558124,0.0014156428,0.6666667,1.8276205,284.60275,1.6824188,0.0,10.0,bll,0,8.10096434378238e-11,4.235100603544595e-10,2.0203959338882527e-10,5.733368640958858e-11,2.3694834289100797e-11,2.2712654849867293e-15,AGN,Non-PSR
52,4FGL J0014.2+0854,0.05396364,0.04798138,-14.14,494,,4.5348425,1016.6225,1.8242177e-10,4.409267e-11,2.6802735e-12,6.282127e-13,PowerLaw,2.6240273e-13,5.678012e-14,2.4980073,0.16695191,2.381394e-13,6.532679e-14,2.5393646,0.1484973,-0.047722973,0.58525515,2.5533555e-13,5.6890995e-14,2.5566397,0.18360731,-0.00037465306,0.00052796456,0.6666667,0.4897339,367.73215,10.884227,0.39557707,0.31181562,bll,0,9.021773328399263e-10,7.543798363762733e-10,1.7667327323334092e-10,3.076870702667378e-11,2.103380504198828e-18,3.915717576574718e-12,AGN,Non-PSR
54,4FGL J0014.7+5801,0.019488582,0.017268365,-51.92,1224,,9.260634,9809.645,2.4973584e-10,5.3036908e-11,3.2512424e-12,5.7147684e-13,PowerLaw,3.5947003e-15,6.2901657e-16,1.7403266,0.11043132,4.7025706e-15,1.0002454e-15,1.6241788,0.1795938,0.15785687,1.92132,4.3455967e-15,9.095794e-16,1.341104,0.26793647,0.0007496283,0.0005047747,0.6666667,1.7733052,187.38676,12.931756,0.52827823,0.29052913,bll,0,4.1491318714115266e-10,3.129059789053201e-10,6.047397999031645e-11,8.099497461611094e-11,3.5753577182218166e-11,1.3628492431805306e-11,AGN,Non-PSR
57,4FGL J0015.2+3537,0.0366336,0.030836364,-81.91,235,,5.399805,3627.431,1.3006211e-10,3.387386e-11,1.4447513e-12,3.777386e-13,PowerLaw,9.746245e-15,2.421097e-15,2.0663972,0.2037013,8.645869e-15,2.531946e-15,2.114525,0.1527464,-0.056847345,0.78044784,9.66803e-15,2.5162213e-15,2.0753982,0.27968657,-3.198981e-05,0.00054327585,0.6666667,0.04489037,152.45686,5.3667583,0.0,10.0,bll,0,2.4149751087776394e-09,3.826186312227975e-10,6.665277357820187e-11,2.468515669651339e-11,1.2501851116841767e-11,2.7488410853093725e-12,AGN,Non-PSR
58,4FGL J0015.6+5551,0.01942691,0.016589964,79.63,1224,,10.681839,5870.8926,3.4864447e-10,5.7740743e-11,4.0214164e-12,5.941593e-13,PowerLaw,1.0975117e-14,1.5932099e-15,1.9079775,0.10778239,1.0331547e-14,1.8565264e-15,1.9389119,0.10031315,-0.029441735,0.5630203,1.0986739e-14,1.7225408e-15,1.9070624,0.17221698,2.4715507e-06,0.00027144866,0.6666667,0.019042253,317.05115,8.877668,0.2728972,0.28412822,bll,0,4.1105427395216054e-10,9.458798189143636e-10,2.0749173212930572e-10,7.596651779850916e-11,2.774505625247059e-11,1.9178785296003475e-11,AGN,Non-PSR
60,4FGL J0016.2-0016,0.040333964,0.03749702,26.0,1295,,20.640505,363.43,4.753951e-10,5.1616926e-11,9.949862e-12,6.765418e-13,LogParabola,1.4242701e-11,8.570627e-13,2.726546,0.050309055,1.6740364e-11,1.1746254e-12,2.5850232,0.07921617,0.18653215,4.009281,1.6275082e-11,1.1300072e-12,2.1430345,0.1933121,0.0113934325,0.0039052467,0.6666667,4.117657,1548.8195,69.39717,0.476826,0.14220944,fsrq,0,2.4813996191141996e-08,4.036454726019656e-09,5.202497321832311e-10,1.5541802230669006e-17,3.66361368325796e-12,1.5139566202527089e-15,AGN,Non-PSR
61,4FGL J0016.5+1702,0.1576355,0.13925701,-77.57,1303,,5.7312074,622.57336,1.7644773e-10,3.9009462e-11,3.0842006e-12,5.4260323e-13,PowerLaw,1.001226e-12,1.707633e-13,2.6308897,0.12986009,1.4210908e-12,2.7359386e-13,2.3538966,0.3034599,0.44820043,2.5804365,1.3374112e-12,2.553957e-13,1.4538977,0.72432286,0.01766192,0.011370583,0.6666667,2.5998757,488.8601,7.7661843,0.22114368,0.3660779,fsrq,4,2.2822218781470838e-08,1.2327469045558814e-09,2.1399494676277442e-10,1.0980054539200257e-11,6.451827625359467e-18,3.2204579714784076e-12,AGN,Non-PSR
64,4FGL J0017.5-0514,0.029232875,0.025224146,25.07,316,,23.148046,808.75867,8.684278e-10,6.5405965e-11,1.2202161e-11,8.882785e-13,LogParabola,2.2815111e-12,1.3258866e-13,2.5345943,0.044660076,2.5841538e-12,1.7238104e-13,2.5544698,0.05932179,0.110736616,3.1191134,2.5173529e-12,1.6891803e-13,2.2853482,0.11731377,0.0036312276,0.0016582585,0.6666667,2.6739016,1763.1399,224.79675,0.9487254,0.26082274,FSRQ,0,1.710404617938366e-08,5.1403632461699544e-09,7.178611038938243e-10,8.753775482261972e-11,2.3309493224488165e-11,2.0177154895885743e-15,AGN,Non-PSR
